epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.581,0.67557,3.04931,1.14256,0.0047,0.99242,0.34888,0.29336,0.46027,3.55624,0.9436,0.0002125,0.0002125,0.0002125
2,268.745,0.70639,2.2495,1.15552,0.84245,0.04131,0.39385,0.32321,0.57169,3.28752,1.04834,0.000428838,0.000428838,0.000428838
3,378.078,0.75047,1.91829,1.18523,0.53645,0.53445,0.50337,0.38596,0.64726,2.9012,1.10776,0.000636265,0.000636265,0.000636265
4,488.535,0.78381,1.77688,1.17927,0.43027,0.62606,0.55969,0.39203,0.92306,2.98745,1.44855,0.000834782,0.000834782,0.000834782
5,624.807,0.8391,1.83936,1.23298,0.41514,0.62135,0.49254,0.35852,0.95458,2.8468,1.28713,0.00102439,0.00102439,0.00102439
6,767.298,0.84172,1.76028,1.23814,0.41086,0.5664,0.51706,0.34968,0.96365,3.1973,1.33384,0.00112625,0.00112625,0.00112625
7,946.363,0.82528,1.58514,1.20837,0.68306,0.60008,0.58872,0.43741,0.83966,2.77009,1.25784,0.0011015,0.0011015,0.0011015
8,1132.08,0.78981,1.49615,1.20259,0.57737,0.5832,0.57193,0.40514,0.86047,3.00718,1.26103,0.00107675,0.00107675,0.00107675
9,1280.17,0.81656,1.446,1.19252,0.57124,0.60184,0.61399,0.44085,0.89742,2.47671,1.27222,0.001052,0.001052,0.001052
10,1414.7,0.77236,1.33184,1.15456,0.55996,0.61436,0.59576,0.44213,0.78191,2.37987,1.24585,0.00102725,0.00102725,0.00102725
11,1518.19,0.83627,1.36321,1.1852,0.6176,0.55421,0.55252,0.41806,0.79798,2.59036,1.24696,0.0010025,0.0010025,0.0010025
12,1618.83,0.76646,1.25275,1.17448,0.60268,0.51908,0.53611,0.40797,0.85155,2.403,1.21562,0.00097775,0.00097775,0.00097775
13,1712.89,0.80173,1.24336,1.20055,0.57427,0.58744,0.53673,0.38373,0.87257,2.31843,1.30851,0.000953,0.000953,0.000953
14,1805.19,0.75671,1.23682,1.15798,0.66422,0.62187,0.61656,0.4637,0.76196,2.16603,1.17006,0.00092825,0.00092825,0.00092825
15,1898.22,0.73838,1.19345,1.14032,0.63332,0.65637,0.59964,0.46045,0.68326,2.05507,1.11168,0.0009035,0.0009035,0.0009035
16,1989.58,0.71489,1.08942,1.11401,0.67396,0.67343,0.61646,0.50005,0.64444,2.02795,1.09667,0.00087875,0.00087875,0.00087875
17,2080.65,0.71485,1.14849,1.1258,0.65845,0.68198,0.64848,0.50498,0.72539,1.87065,1.16808,0.000854,0.000854,0.000854
