epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,16.527,0.60609,3.24833,1.19356,0.00526,1,0.38364,0.30733,0.30933,3.58927,0.96006,3.75e-05,1.25e-05,3.75e-05,1.25e-05,3.75e-05,1.25e-05,3.75e-05,1.25e-05
2,34.3433,0.66374,3.23327,1.19304,0.00528,1,0.22772,0.19952,0.31045,3.58653,0.96629,0.000110272,3.67575e-05,0.000110272,3.67575e-05,0.000110272,3.67575e-05,0.000110272,3.67575e-05
3,53.0777,0.7369,3.27265,1.338,0.00526,1,0.23643,0.20495,0.31191,3.58923,0.97437,0.000180075,6.0025e-05,0.000180075,6.0025e-05,0.000180075,6.0025e-05,0.000180075,6.0025e-05
4,70.5247,0.77486,3.37476,1.28567,0.00522,1,0.24094,0.20631,0.31426,3.58819,0.97372,0.000246907,8.23025e-05,0.000246907,8.23025e-05,0.000246907,8.23025e-05,0.000246907,8.23025e-05
5,88.1902,0.63135,3.21684,1.13915,0.00517,1,0.25474,0.21648,0.30852,3.58712,0.97188,0.00031077,0.00010359,0.00031077,0.00010359,0.00031077,0.00010359,0.00031077,0.00010359
6,105.663,0.58837,3.32317,1.12007,0.00516,1,0.26065,0.22626,0.30729,3.58877,0.96735,0.000371662,0.000123888,0.000371662,0.000123888,0.000371662,0.000123888,0.000371662,0.000123888
7,123.521,0.91765,3.41386,1.56876,0.00517,1,0.26319,0.22708,0.31315,3.58684,0.96917,0.000429585,0.000143195,0.000429585,0.000143195,0.000429585,0.000143195,0.000429585,0.000143195
8,140.882,0.65284,3.21594,1.21308,0.00519,1,0.26979,0.22992,0.3179,3.5973,0.97133,0.000484537,0.000161513,0.000484537,0.000161513,0.000484537,0.000161513,0.000484537,0.000161513
9,152.807,0.95517,3.33399,1.49847,0.00517,1,0.27875,0.25029,0.32595,3.59815,0.97698,0.00053652,0.00017884,0.00053652,0.00017884,0.00053652,0.00017884,0.00053652,0.00017884
10,164.748,0.63578,3.11486,1.08307,0.00516,1,0.28103,0.24026,0.33345,3.60156,0.98058,0.000585532,0.000195178,0.000585532,0.000195178,0.000585532,0.000195178,0.000585532,0.000195178
11,176.799,0.58131,3.22973,1.14324,0.00516,1,0.29195,0.22444,0.34269,3.6056,0.98737,0.000631575,0.000210525,0.000631575,0.000210525,0.000631575,0.000210525,0.000631575,0.000210525
12,188.595,0.74769,3.29791,1.28706,0.00512,1,0.33927,0.27989,0.34899,3.60861,0.99056,0.000674648,0.000224883,0.000674648,0.000224883,0.000674648,0.000224883,0.000674648,0.000224883
13,200.584,0.52114,3.09763,1.09825,0.00515,1,0.50604,0.47731,0.35715,3.59884,0.9996,0.00071475,0.00023825,0.00071475,0.00023825,0.00071475,0.00023825,0.00071475,0.00023825
14,212.632,0.78134,3.12989,1.30468,0.00512,1,0.5376,0.50134,0.35672,3.59741,1.00982,0.000751883,0.000250627,0.000751883,0.000250627,0.000751883,0.000250627,0.000751883,0.000250627
15,224.588,0.53801,3.21842,1.11347,0.00511,1,0.54304,0.50844,0.36054,3.60065,1.01116,0.000786045,0.000262015,0.000786045,0.000262015,0.000786045,0.000262015,0.000786045,0.000262015
